"header line, header line. v02"														
1	0	0	1	instructionimage	instructionimage	NLEinstructions.png	2000							
2	0	0	1	instruction	Press 'continue' when you are ready to try some examples.									
3	0	0	1	audionumberline	numberline_spatialint_2_example	same	0	0	1 Billion	1.5				
4	0	0	1	multipleChoice	multipleChoice	Did you place zero on the leftmost endpoint of the number line?	yes	no						
5	0	0	1	feedback	feedback	yes	Good job! 	no	"Zero goes at the left endpoint, where it is labeled."					
6	0	0	1	audionumberline	numberline_spatialint_2_example	same	1billion	0	1 Billion	1.5				
7	0	0	1	multipleChoice	multipleChoice	Did you place one billion on the rightmost end of the number line?	yes	no						
8	0	0	1	feedback	feedback	yes	Good job! 	no	"One billion goes at the right endpoint, where it is labeled."					
9	0	0	1	instruction	Let's get started. Please complete the following number line tasks.  Press 'continue' when you are ready to begin.									
10	1	1	1	audionumberline	audionumberline_baseline	13thousand	0	1 Billion	1.5					
11	1	2	1	audionumberline	audionumberline_baseline	172thousand	0	1 Billion	1.5					
12	1	3	1	audionumberline	audionumberline_baseline	3million	0	1 Billion	1.5					
13	1	4	1	audionumberline	audionumberline_baseline	12million	0	1 Billion	1.5					
14	1	5	1	audionumberline	audionumberline_baseline	238million	0	1 Billion	1.5					
15	1	6	1	audionumberline	audionumberline_baseline	5thousand	0	1 Billion	1.5					
16	1	7	1	audionumberline	audionumberline_baseline	62thousand	0	1 Billion	1.5					
17	1	8	1	audionumberline	audionumberline_baseline	645thousand	0	1 Billion	1.5					
18	1	9	1	audionumberline	audionumberline_baseline	6million	0	1 Billion	1.5					
19	1	10	1	audionumberline	audionumberline_baseline	51million	0	1 Billion	1.5					
20	1	11	1	audionumberline	audionumberline_baseline	493million	0	1 Billion	1.5					
21	1	12	1	audionumberline	audionumberline_baseline	9thousand	0	1 Billion	1.5					
22	1	13	1	audionumberline	audionumberline_baseline	82thousand	0	1 Billion	1.5					
23	1	14	1	audionumberline	audionumberline_baseline	918thousand	0	1 Billion	1.5					
24	1	15	1	audionumberline	audionumberline_baseline	8million	0	1 Billion	1.5					
25	1	16	1	audionumberline	audionumberline_baseline	73million	0	1 Billion	1.5					
26	1	17	1	audionumberline	audionumberline_baseline	949million	0	1 Billion	1.5					
27	0	0	1	instruction	Thanks for your help!									
28	0	0	1	instruction										
														
														
														
														
														
														
														
												 		 
												 		
												 		 
														
														
														
														
												 		 
												 		
												 		
														 
